"id","Topic11_Proportion","tokens","category","title","code","description","class"
"1013612301664",0.902405930582817,"federal  government  origin  development  constitution  structure  power  national  government  legislative_executive  judicial_branch  federalism  political  participation  national  election  process  public  policy  civil_liberty  civil_right","Social Sciences","Federal Government","PS 2305","Origin and development of the U.S. Constitution, the structure and powers of the national government including the legislative, executive, and judicial branches, federalism, political participation, the national election process, public policy, civil liberties and civil rights.","PoliticalScience"
"11433202953031",0.904901016932181,"united_states  texas  government  institution  police  examination  united_states  texas  political  system  emphasis  formal_informal  institution  role  creation  implementation  public  policy  topic  legislative_executive  judicial_branch  bureaucracy  public  policy  formulation_implementation","Social Sciences","United States and Texas Government: Institutions and Polices","PSCI 2302","An examination of the United States and Texas political systems with emphasis on both formal and informal institutions and the roles they play in the creation and implementation of public policy. Topics considered include the legislative, executive, and judicial branches, bureaucracies and public policies (formulation and implementation).","PoliticalScience"
"1159641180850",0.904881447498536,"united_states  texas  government  institution  police  course  examination  united_states  texas  political  system  emphasis  political  institution  role  creation  implementation  public  policy  topic  legislative_executive  judicial_branch  bureaucracy  public  policy","Social Sciences","United States and Texas Government: Institutions and Polices","PSCI 2302","This course is an examination of the United States and Texas political systems with emphasis on both political institutions and the roles they play in the creation and implementation of public policy. Topics considered include the legislative, executive, and judicial branches; bureaucracies; and public policies.","PoliticalScience"
"11665131177911",0.90458071796253,"federal  government  origin  development  constitution  structure  power  national  government  legislative_executive  judicial_branch  federalism  political  participation  national  election  process  public  policy  civil_liberty  civil_right","Social Sciences","Federal Government","Government 2305","Origin and development of the U.S. Constitution, structure and powers of the national government including the legislative, executive, and judicial branches, federalism, political participation, the national election process, public policy, civil liberties and civil rights.","PoliticalScience"
"12120397718399",0.919126644701178,"texas  government  politic  course  origin  development  texas  state  system  government  politic  texas_constitution  policymaking  process  political  action  power  relation  various  political  issue  course  introductory  survey  course  overview  state  level  political  institution  legislative_executive  judicial_branch  government  significant  role  bureaucratic  regulatory  agency  course  institutional  foundation  state  policy  making  process  key  texas  policy  economic  economic  development  policy  social  welfare  provision","Social Sciences","TEXAS GOVERNMENT AND POLITICS","POLS 2306","This course examines the origins and development of the Texas state system of government and politics, which includes the Texas Constitution, policymaking processes, political action, power relations, and various political issues. This course is an introductory survey course that provides an overview of state level political institutions, including the legislative, executive, and judicial branches of government. It also examines the significant role of bureaucratic and regulatory agencies. The course will draw on this institutional foundation to examine the state policy-making processes and to analyze key Texas policies, such as economic and economic development policy and social welfare provision.","PoliticalScience"
"12781822691044",0.908358067641111,"principle  american  government  national  state  course  origin  development  constitution  american  governmental  system  citizenship  civil_right  suffrage  national  party  system  national  executive  organization  congress  national  judiciary  federal  state  relation  constitution  state  texas  course  legislative  requirement  course  constitution  united_states  texas","Social Sciences","PRINCIPLES OF AMERICAN GOVERNMENT – NATIONAL & STATE","POLS 2301","This course deals with the origin, development, and Constitution of the American governmental system, citizenship and civil rights, suffrage, the national party system, the national executive, organization of congress, national judiciary, federal-state relations, and the Constitution of the State of Texas. This course meets the legislative requirement for a course on the Constitutions of the United States and Texas.","PoliticalScience"
"13056700583066",0.904398169372866,"united_states  texas  government  institution  police  course  examination  united_states  texas  political  system  emphasis  political  institution  role  creation  implementation  public  policy  topic  legislative_executive  judicial_branch  bureaucracy  public  policy","Social Sciences","United States and Texas Government: Institutions and Polices","PSCI 2302","This course is an examination of the United States and Texas political systems with emphasis on both political institutions and the roles they play in the creation and implementation of public policy. Topics considered include the legislative, executive, and judicial branches; bureaucracies; and public policies.","PoliticalScience"
"13967233659210",0.904901016932181,"united_states  texas  government  institution  police  examination  united_states  texas  political  system  emphasis  formal_informal  institution  role  creation  implementation  public  policy  topic  legislative_executive  judicial_branch  bureaucracy  public  policy  formulation_implementation","Social Sciences","United States and Texas Government: Institutions and Polices","PSCI 2302","An examination of the United States and Texas political systems with emphasis on both formal and informal institutions and the roles they play in the creation and implementation of public policy. Topics considered include the legislative, executive, and judicial branches, bureaucracies and public policies (formulation and implementation).","PoliticalScience"
"1546188251385",0.902499790112573,"federal  government  origin  development  constitution  structure  power  national  government  legislative_executive  judicial_branch  federalism  political  participation  national  election  process  public  policy  civil_liberty  civil_right","Social Sciences","Federal Government","POLS 2305","Origin and development of the U.S. Constitution, structure and powers of the national government including the legislative, executive, and judicial branches, federalism, political participation, the national election process, public policy, civil liberties, and civil rights.","PoliticalScience"
"16295105922281",0.924222247095329,"congress  lawmaking  foreign  affairs  course  branch  federal  government  law  institution  foreign  relation  national  security  particular  emphasis  constitutional  framework  legislative_executive  judicial_branch  nation  security  defense  foreign  policy  congress  law  making  appropriation  power  president  executive  power  commander  chief  chief  diplomat  court  power  judicial  review  adjudication  dispute  special  reference  post  statute  related  legal  development  bush  obama  administration  congresses  successful_completion  course  practitioner  legal  structure  context  nation  security  policy","Social Sciences","Congress, Lawmaking & Foreign Affairs","LAW-935","This course explores each branch of the U.S. federal government and the laws and institutions that govern foreign relations and national security. It places particular emphasis upon the constitutional framework upon which the legislative, executive, and judicial branches shape the nation's security, defense, and foreign policies. We thoroughly examine Congress' law-making and appropriations power, the President's executive power as commander-in-chief and chief diplomat, and the court's power of judicial review and adjudication of disputes. We will debate and make special reference to post-9/11 statutes and related legal developments under the Bush and Obama Administrations and the congresses since 2001. Successful completion of the course enables the practitioner to understand, implement, and shape the legal structure that they might implement, defend, or challenge in the context of the nation's security policy.","Law"
