"id","Topic4_Proportion","tokens","category","title","code","description","class"
"10101763081411",0.934477917583937,"family  nurse_practitioner  course  advanced  concept  knowledge  nurse_practitioner  primary  care  management  acute_chronic  complex  health  problem  individual  family  lifespan  particular  emphasis  eent  respiratory  infectious_disease  urology  renal  endocrine  neurology  musculoskeletal  pain  management  cardiac  vascular  concept  condition","Medicine and Health Sciences","Family Nurse Practitioner II","Nursing 5335","This course focuses on advanced concepts and knowledge for nurse practitioner primary care management of designated acute, chronic and complex health problems of individuals and families across the lifespan. Particular emphasis will be on EENT, respiratory, infectious disease, urology/renal, endocrine, neurology, musculoskeletal, pain management, cardiac and vascular concepts and conditions.","Nursing"
"10522669877960",0.933916784181002,"adult  health  nursing  basic  medical_surgical  knowledge  health  promotion  alteration  fluid_electrolyte  balance  respiratory  cardiovascular  hepatic  urinary  system  surgical  client  care  emphasis  evidence  nursing  practice","Medicine and Health Sciences","Adult Health Nursing I","NU210","Enhance basic medical surgical knowledge of health promotion and alterations in fluid and electrolyte balance, respiratory,cardiovascular, gastrointestinal, hepatic, and urinary systems and surgical client care with an emphasis on evidence based nursing practice.","Nursing"
"1073741829499",0.932505579550067,"adult  health  nursing  basic  medical_surgical  knowledge  health  promotion  alteration  fluid_electrolyte  balance  respiratory  cardiovascular  hepatic  urinary  system  surgical  client  care  emphasis  evidence  nursing  practice","Medicine and Health Sciences","Adult Health Nursing I","NU210","Enhance basic medical surgical knowledge of health promotion and alterations in fluid and electrolyte balance, respiratory,cardiovascular, gastrointestinal, hepatic, and urinary systems and surgical client care with an emphasis on evidence based nursing practice.","Nursing"
"10969346498025",0.933022592853524,"adult  health  nursing  basic  medical_surgical  knowledge  health  promotion  alteration  fluid_electrolyte  balance  respiratory  cardiovascular  hepatic  urinary  system  surgical  client  care  emphasis  evidence  nursing  practice","Medicine and Health Sciences","Adult Health Nursing I","NU210","Enhances basic medical surgical knowledge of health promotion and alterations in fluid and electrolyte balance, respiratory, cardiovascular, gastrointestinal, hepatic, and urinary systems and surgical client care with an emphasis on evidence based nursing practice.","Nursing"
"10995116287374",0.934996252630868,"primary  care  management  adult  principle  issue  health  care  management  adult  advanced  practice  nurse  primary  care  health  care  management  adult  chronic  stable  multiple  complex  problem  integration  synthesis  relevant  framework","Medicine and Health Sciences","PRIMARY CARE MANAGEMENT OF ADULT II","NUR 853","Principles and issues of health care management for adult advanced practice nurses in primary care. Health care management of adults with chronic, stable and/or multiple complex problems. Integration and synthesis of relevant frameworks.","Nursing"
"11476152618218",0.957690236131173,"pathophysiology_pharmacology  course  related  nursing  concept  pathophysiology_pharmacology  pathophysiology  manifestation  disease  risk  factor  disease  principle  pathology  illness  injury  therapeutic  nursing  intervention  outcome  pharmacology  basic  drug  classification  concept  principle  pharmacology  special  consideration  nursing  role  comprehensive  approach  clinical  application  drug  therapy  use  nursing  process  nursing  implication  relative  utilization  drug  therapy","Medicine and Health Sciences","Pathophysiology/Pharmacology","NURS 3316","This course combines two related nursing concepts, pathophysiology and pharmacology. Pathophysiology relates manifestations of disease, risk factors for disease, and the principles of pathology underlying illness and injury to therapeutic nursing interventions and outcomes. Pharmacology focuses on the basic drug classification, concepts and principles of pharmacology with special consideration for the nursing role in developing a comprehensive approach to the clinical application of drug therapy through the use of the nursing process. Nursing implications relative to the utilization of drug therapy are examined.","Nursing"
"11639361394461",0.940390771863803,"care  prevention  athletic  recreational  injury  mechanism  common  sport  injury  acute  care  injury  risk  management  prevention  injury  psychosocial  intervention  referral  basic  health  care  administration","Medicine and Health Sciences","Care & Prevention of Athletic & Recreational Injuries","ENS 265","Mechanisms of common sports injuries, acute care of injuries, risk management and prevention of injuries, psychosocial intervention and referral, and basic health care administration.","FitnessLeisure"
"11965778904489",0.934829849542097,"adult  health  nursing  basic  medical_surgical  knowledge  health  promotion  alteration  fluid_electrolyte  balance  respiratory  cardiovascular  hepatic  urinary  system  surgical  client  care  emphasis  evidence  nursing  practice","Medicine and Health Sciences","Adult Health Nursing I","NU210","Enhance basic medical surgical knowledge of health promotion and alterations in fluid and electrolyte balance, respiratory,cardiovascular, gastrointestinal, hepatic, and urinary systems and surgical client care with an emphasis on evidence based nursing practice.","Nursing"
"13383118098229",0.930258662031239,"care  old_adult  course  aging  process  focus  risk_reduction  chronic_disease  management  disease_prevention  old_adult  concept  healthy  aging  course  strategy  health  promotion  health  restoration  health  maintenance  life  transition  old_adult","Medicine and Health Sciences","Care of Older Adults","NURS 3330","In this course, the aging process is examined with a focus on risk reduction, chronic disease management and disease prevention in the older adult. The concept of healthy aging will be explored. The course includes strategies for health promotion, health restoration, health maintenance and life transitions of the older adult.","Nursing"
"14293651184698",0.929894729927756,"family  nurse_practitioner  course  advanced  concept  knowledge  nurse_practitioner  primary  care  management  acute_chronic  complex  health  problem  individual  family  lifespan  particular  emphasis  heent  respiratory  infectious_disease  urology  renal  endocrine  neurology  musculoskeletal  pain  management  cardiovascular  vascular","Medicine and Health Sciences","Family Nurse Practitioner II","Nursing 5335","This course focuses on advanced concepts and knowledge for nurse practitioner primary care management of designated acute, chronic and complex health problems of individuals and families across the lifespan. Particular emphasis will be on HEENT, respiratory, infectious disease, urology/renal, endocrine, neurology, musculoskeletal, pain management, cardiovascular and vascular.","Nursing"
