"id","Topic13_Proportion","tokens","category","title","code","description","class"
"1013612305192",0.924039167208457,"data  structure  course  student  various  data  structure  advanced  algorithmic  concept  concept  practice  programming  project  data  structure  stack  tree_graph  queue_list  concept  recursion  sorting_searching  hashing  space  time  complexity  algorithm","Engineering and Technology","Data Structures","CS352","This course introduces the student to various data structures and advanced algorithmic concepts. These concepts will be put into practice using C++ for programming projects. These data structures will be covered: stacks, trees, graphs, queues, linked lists. These concepts will be covered: recursion, sorting, searching, hashing. Space and time complexities of algorithms will be analyzed.","ComputerScience"
"10222022172315",0.937585452504706,"object  programming  java  student  fundamental  concept  software  development  object  programming  java  language  object  principle  abstraction  composition  class  object  inheritance_polymorphism  interface  principle  java  language  basic  java  syntax  program  structure  course","Engineering and Technology","Object Oriented Programming (JAVA)","MSITM-6340","Students will be introduced to fundamental concepts of software development and Object Oriented Programming using the JAVA language. Object Oriented principles like abstraction, composition, classes, objects, inheritance, polymorphism and interfaces will be covered. These principles are applied in JAVA language after basic JAVA syntax and program structure is covered in this course.","ComputerScience"
"11733850667759",0.931294812867289,"computer  programming  course  student  fundamental  principle  technique  computer  programming  skill  program  problem  programming  language  pythontm  student  basic  concept  structured  procedural  object  programming  python  easy  scripting  object  programming  language  student  little  prior  programming  experience  basic  principle  programming  student  hand  experience  programming  concept  methodology  programming  solution  wide_range  problem","Engineering and Technology","Computer Programming","CSCI 7010","This course introduces students to the fundamental principles and techniques of computer programming and develop the skills for designing and writing programs for solving problems. The programming language PythonTM will be used to teach students the basic concepts to structured, procedural, and object-oriented programming. Python is a an easy-to-learn scripting object-oriented programming language well-suited for students with little or no prior programming experience who want to learn the basic principles of programming. Students will gain hands-on experience by applying the programming concepts and methodologies to implement programming solutions to a wide range of problems.","ComputerScience"
"11785390266885",0.930372719332258,"introduction  computing  programming  algorithm  program  computing  system  fundamental  technique  program  development  supportive  software  tool  programming  project  application  structured  computer  language  hand  experience  microcomputer  fundamental  idea  computer  science  object  programming  language  java  fundamental  object  paradigm  class  object  encapsulation_inheritance  polymorphism  basic  data  structure  array  list  basic  algorithm  searching_sorting","Engineering and Technology","Introduction to Computing and Programming","CSCI 1301","Algorithms, Programs and Computing Systems. Fundamental techniques of program development and supportive software tools. Programming projects and applications in a structured computer language. Hands-on experience using microcomputers. We will will introduce some fundamental ideas in Computer Science, focusing on the object-oriented programming language Java. This will include the fundamentals of the object-oriented paradigm (classes, objects, encapsulation, inheritance and polymorphism), basic data structures (arrays and linked lists), and basic algorithms (searching and sorting).","ComputerScience"
"11888469479091",0.922405826127716,"introduction  computer  science  introduction  object  programming  abstract  data  type  list_stack  queue_tree  sorting_searching  algorithm  big  notation  graphical_user  interface  design  software  testing  program  verification","Engineering and Technology","Introduction to Computer Science II","CS 30","Introduction to object-oriented programming. Abstract data types including lists, stacks, queues, and trees. Sorting and searching algorithms. Big-O notation. Graphical user interface design. Software testing and program verification.","ComputerScience"
"11948599027081",0.924138669020742,"introduction  programming  course  introduction  object  programming  java  programming  language  student  syntax_semantic  java  language  object  programming  concept  technique  late  standard  version  sun  microsystems  java  software  development  kit  sdk  student  code","Engineering and Technology","Introduction to Programming I","ITM 2050","This course serves as an introduction to object oriented programming using the Java programming language. Students will learn the syntax and semantics of the Java language while learning object oriented programming concepts and techniques. We will use the latest standard version of Sun Microsystems Java 2 software development kit (J2SDK). Students will learn how to design, implement, test, and debug their code.","ComputerScience"
"12034498382176",0.92466145629765,"programming  fundamental  course  development  programming  problem_solving  skill  cs  programming  concept  practice  java  programming  project  student  object  programming  key  component  inheritance_polymorphism  student  graphical_user  interface  component  event  programming  exception_handling  file","Engineering and Technology","Programming Fundamentals","CS219","This course continues the development of the programming and problem solving skills introduced in CS 151.  Programming concepts will be put into practice by using Java for programming projects.  Students will learn about object-oriented programming and two of its key components - inheritance and polymorphism.  Additionally, students will learn about: graphical user interface components, event-driven programming, exception handling, and files.","ComputerScience"
"1236950593838",0.923238113803794,"programming  scripting  language  web  application  principle  practice  dynamic  scripting  functional  language  web  application  basic  language  concept  data  structure  dynamic  language  code  structure  code  quality  testing  string  manipulation  dynamic  web_site  generation","Engineering and Technology","Programming and Scripting Languages for Web Applications","CS 547","Principles and practice of dynamic and scripting and functional languages used in web applications. Basic language concepts, data structures in dynamic languages, code structure, code quality, testing, string manipulation, dynamic web site generation.","ComputerScience"
"12635793805426",0.924618633720925,"object  programming  first  programming  course  computer  science  major  focus  object  programming  goal  course  skill  program  design  testing  implementation  program  graphical_ide  programming  java  course  fun  several  programming  assignment  experience  basic  element  programming  loop  array  inheritance  assignment  programming  useful  fun  simple  construct  real  task  assignment  picture  manipulation  game","Engineering and Technology","Object Oriented Programming I","CMSC 131","This is a first programming course for Computer Science majors with a focus on object-oriented programming. The goal of the course is to develop skills such as program design and testing as well as the implementation of programs using a graphical IDE. All programming will be done in Java. This is a challenging course, but it is fun. There will be several programming assignments. Each aims to provide experience with the basic elements of programming such as loops, arrays, and inheritance. The assignments also try to show how programming can be useful and fun, and how even relatively simple constructs can accomplish real tasks. Assignments will include picture manipulation and games.","ComputerScience"
"13056700600671",0.929234855516717,"programming  fundamental  course  development  programming  problem_solving  skill  cs  programming  concept  practice  java  programming  project  student  object  programming  key  component  inheritance_polymorphism  student  topic  array_graphical  user_interface  component  event  programming  exception_handling  file  dynamic  data  structure  time","Engineering and Technology","Programming Fundamentals","CS219","This course continues the development of the programming and problem solving skills introduced in CS 151. Programming concepts will be put into practice by using Java for programming projects. Students will learn about object-oriented programming and two of its key components – inheritance and polymorphism. Additionally, students will learn about these topics: arrays, graphical user interface components, event-driven programming, exception handling and files. Dynamic data structures may be covered if time permits.","ComputerScience"
