"id","Topic9_Proportion","tokens","category","title","code","description","class"
"10299331583270",0.856311436176302,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
"10359461123101",0.856311436176302,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
"10376641004452",0.856209704454193,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
"11106785430226",0.856209704454193,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
"11845519819102",0.8560356434949,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
"13778255099508",0.861122668964298,"workplace  course  complex  challenge  leadership  examination  individual  leader  workforce  situation  leadership  process  leader_follower  situation  variety  leadership  topic  power  influence  value  motivation  group  dynamic  leadership  context  characteristic  situation  change  initiative","Social Sciences","Leading in the Workplace","LDR 3331","This course is designed to explore the complex challenges of leadership through the examination of individual leaders and workforce situations. It is designed to view leadership as a process focusing on the leader, the followers, and the situation. A variety of leadership topics are covered including power and influence, values, motivation, group dynamics, leadership in context, characteristics of a situation, and change initiatives.","Business"
"13786845023194",0.856311436176302,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
"13950053797039",0.856209704454193,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
"15178414448454",0.862743972288956,"interpersonal  relation  conflict_resolution  interpersonal  behavior  person  relationship  emphasis  interpersonal  communication  conflict_resolution  coverage  group  process  development  group  norm  culture  interpersonal  relationship","Social Sciences","Interpersonal Relations and Conflict Resolution","MGT 5105","Focus on interpersonal behavior in two-person relationships with emphasis placed on interpersonal communication and conflict resolution. Coverage is also devoted to group processes, development and how group norms and culture influence interpersonal relationships.","Business"
"15187004372824",0.863945903647827,"interpersonal  relation  conflict_resolution  interpersonal  behavior  person  relationship  emphasis  interpersonal  communication  conflict_resolution  coverage  group  process  development  group  norm  culture  interpersonal  relationship","Social Sciences","Interpersonal Relations and Conflict Resolution","MGT 5105","Focus on interpersonal behavior in two-person relationships with emphasis placed on interpersonal communication and conflict resolution. Coverage is also devoted to group processes, development and how group norms and culture influence interpersonal relationships.","Business"
"1614907727426",0.856311436176302,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
"16217796513376",0.856209704454193,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
"16492674435210",0.856311436176302,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
"17111149720206",0.856311436176302,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
"214748373471",0.892606315206949,"mezzo  practice  practice  course  group  leader  understanding  group  dynamic  effective  leadership  skill  course  historical  theoretical  framework  social  work  practice  small_group  emphasis  development  social  work  skill  context  group  practice  framework  course  social  work  value  ethical  decision_making  process  nsaw  code_ethics  standards  social  work  groups  association  advancement  social  work  groups  aaswg","Social Sciences","Mezzo Practice","SOCW/SOCI 4310","This practice course focuses on developing group leaders who possess both an understanding of group dynamics and effective leadership skills. The course provides a historical and theoretical framework for understanding social work practice with small groups. Emphasis will be placed on the development of social work skills in the context of group practice. The framework of the course is based on social work values and the ethical decision-making process, as illuminated by the NSAW Code of Ethics and the Standards for Social Work with Groups (Developed by the Association for the Advancement of Social Work with Groups (AASWG).","SocialWork"
"3126736198618",0.861736929802929,"interpersonal  relation  conflict_resolution  interpersonal  behavior  person  relationship  emphasis  interpersonal  communication  conflict_resolution  coverage  group  process  development  group  norm  culture  interpersonal  relationship","Social Sciences","Interpersonal Relations and Conflict Resolution","MGT 5105","Focus on interpersonal behavior in two-person relationships with emphasis placed on interpersonal communication and conflict resolution. Coverage is also devoted to group processes, development and how group norms and culture influence interpersonal relationships.","Business"
"4690104307277",0.856311436176302,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
"5652176966333",0.856311436176302,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
"678604835533",0.893139881415411,"mezzo  practice  practice  course  group  leader  understanding  group  dynamic  effective  leadership  skill  course  historical  theoretical  framework  social  work  practice  small_group  emphasis  development  social  work  skill  context  group  practice  framework  course  social  work  value  ethical  decision_making  process  nsaw  code_ethics  standards  social  work  groups  association  advancement  social  work  groups  aaswg","Social Sciences","Mezzo Practice","SOCW/SOCI 4310","This practice course focuses on developing group leaders who possess both an understanding of group dynamics and effective leadership skills. The course provides a historical and theoretical framework for understanding social work practice with small groups. Emphasis will be placed on the development of social work skills in the context of group practice. The framework of the course is based on social work values and the ethical decision-making process, as illuminated by the NSAW Code of Ethics and the Standards for Social Work with Groups (Developed by the Association for the Advancement of Social Work with Groups (AASWG).","SocialWork"
"6975026895137",0.856311436176302,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
"7232724929390",0.856311436176302,"interpersonal  communication  introduction  knowledge  skill  interpersonal  communication  course  content_facilitation  effective_supportive  behavior  reduction  communication  barrier  development  skill  confidence  relationship","Social Sciences","Interpersonal Communication I","CA104","An introduction to the knowledge and skills of interpersonal communication. The course content includes facilitation of more effective and supportive behavior, reduction of communication barriers and development of increased skill and confidence in relationships.","MediaCommunications"
