"id","Topic14_Proportion","tokens","category","title","code","description","class"
"10264971840780",0.932214391754771,"financial  accounting  financial  accounting  accounting  concept  accounting  model  measurement  process  financial_statement  financial  analysis  accounting  cycle  monetary  fixed  asset  inventory  current  long_term  liability_equity  structure  partnership  proprietorship  corporation  objective  course  manager  concept  tool  technique  financial  accounting  emphasis  understanding  problem_solving  report  preparation  completion  course  able  excel  variety  analysis","Engineering and Technology","Financial Accounting","MGT 5000","Financial accounting examines accounting concepts, the accounting model, measurement processes, financial statements, financial analysis, the accounting cycle, monetary and fixed assets, inventory, current and long-term liabilities and equity structures of partnerships, proprietorships and corporations. The objective of this course is to introduce managers to the concepts, tools, and techniques used in financial accounting. Emphasis will be placed on the understanding of problem-solving and report preparation. At the completion of this course you should be able to use Excel to perform a variety of analyses.","Accounting"
"11441792878073",0.935246503139081,"economics  business  decision_making  microeconomics  business  success  successful  positioning  firm  management  resource  goal  course  competitive_advantage  management  firm  resource  topic  analyzation  management  decision  real  option  cost  determination  pricing  market  entry  exit","Social Sciences","Economics for Business Decision Making (Microeconomics)","EWMBA 201A","Business success depends on the successful positioning of the firm and the management of its resources. The goal of this course is to think systematically about achieving competitive advantage through the management of the firm's resources. Topics include analyzation of management decisions concerning real options, cost determination, pricing, and market entry and exit.","Business"
"12017318496056",0.936404270883302,"intermediate  accounting  study  accounting  problem  liability  measurement  determination  stockholder_equity  earning_share  lease  revenue_recognition  coverage  intangible  investment  study  accounting  problem  liability  measurement  determination  stockholder_equity  earning_share  lease  revenue_recognition  coverage  intangible  investment","Engineering and Technology","Intermediate Accounting II","ACC 3314","A study of accounting problems related to liability measurement, determination of stockholders’ equity, earnings per share, leases, and revenue recognition. Also, coverage of intangibles and investments. A study of accounting problems related to liability measurement, determination of stockholders’ equity, earnings per share, leases, and revenue recognition. Also, coverage of intangibles and investments.","Accounting"
"12017318517834",0.93296345358079,"financial  management  role  finance  function  shareholder  value  framework  framework  corporate  strategic  initiative  balance  finance  marketing  operating  decision  firm  course  comprehensive  understanding  financial  analysis  planning  investment  capital  structure  financial  market  capital  raising  capital  disbursement  decision  valuation  corporate_restructuring","Social Sciences","Financial Management","BA 665","To explore the role of the finance function in a shareholder value based framework. This framework recognizes that choosing between corporate strategic initiatives involves a balance between finance, marketing and operating decisions of a firm. The course will provide a comprehensive understanding of: financial analysis and planning; investment, capital structure, financial markets, capital raising and capital disbursement decisions; valuation and corporate restructuring.","Business"
"12163347406962",0.932475875556081,"principle  accounting  study  role  management  accounting  control  business  firm  emphasis  organizational  activity  value  customer  topic  activity  costing_cost  behavior  cost  allocation  pricing  product  mix  decision  capital_budgeting  compensation  benchmarking  continuous_improvement  behavioral  organizational  issue","Engineering and Technology","Principles of Accounting II","Accounting 222","A study of the role of management accounting and control in business firms with an emphasis on organizational activities that create value for customers. Topics include activity based costing, cost behavior, cost allocation, pricing and product mix decisions, capital budgeting, compensation, benchmarking and continuous improvement, and behavioral and organizational issues.","Accounting"
"12678743477614",0.932214391754771,"financial  accounting  financial  accounting  accounting  concept  accounting  model  measurement  process  financial_statement  financial  analysis  accounting  cycle  monetary  fixed  asset  inventory  current  long_term  liability_equity  structure  partnership  proprietorship  corporation  objective  course  manager  concept  tool  technique  financial  accounting  emphasis  understanding  problem_solving  report  preparation  completion  course  able  excel  variety  analysis","Engineering and Technology","Financial Accounting","MGT 5000","Financial accounting examines accounting concepts, the accounting model, measurement processes, financial statements, financial analysis, the accounting cycle, monetary and fixed assets, inventory, current and long-term liabilities and equity structures of partnerships, proprietorships and corporations. The objective of this course is to introduce managers to the concepts, tools, and techniques used in financial accounting. Emphasis will be placed on the understanding of problem-solving and report preparation. At the completion of this course you should be able to use Excel to perform a variety of analyses.","Accounting"
"12987981113419",0.953781904592721,"introduction  accounting  finance  course  general  introduction  accounting  finance  course  accounting  finance  fundamental  financial  planning  control  investment  financing  strategy  topic  role  function  accounting  finance  financial_statement  cash_flow  financial_statement  analysis  interest_rate  concept  time  value_money  financial  market  market  efficiency  financial  working_capital  management  capital  investment  decision  cost  capital  financial  structure  long_term  financing","Engineering and Technology","Introduction to Accounting and Finance","BUS 5100","This course is a general introduction to accounting and finance. The course focuses on accounting and finance fundamentals, financial planning and control and investment and financing strategies. Topics include the role and function of accounting and finance, financial statements and cash flows, financial statement analysis, interest rate concepts and the time value of money, financial markets and market efficiency, financial working capital management, capital investment decisions, cost of capital and financial structure and long term financing.","Accounting"
"13855564502517",0.932648210911285,"principle  accounting  study  role  management  accounting  control  business  firm  emphasis  organizational  activity  value  customer  topic  activity  costing_cost  behavior  cost  allocation  pricing  product  mix  decision  capital_budgeting  compensation  benchmarking  continuous_improvement  behavioral  organizational  issue","Engineering and Technology","Principles of Accounting II","Accounting 222","A study of the role of management accounting and control in business firms with an emphasis on organizational activities that create value for customers. Topics include activity based costing, cost behavior, cost allocation, pricing and product mix decisions, 1 capital budgeting, compensation, benchmarking and continuous improvement, and behavioral and organizational issues.","Accounting"
"13872744378299",0.934713100785221,"principle  accounting  study  role  management  accounting  control  business  firm  emphasis  organizational  activity  value  customer  topic  activity  costing_cost  behavior  cost  allocation  pricing  product  mix  decision  capital_budgeting  compensation  benchmarking  continuous_improvement  behavioral  organizational  issue","Engineering and Technology","Principles of Accounting II","Acct 222","A study of the role of management accounting and control in business firms with an emphasis on organizational activities that create value for customers. Topics include activity based costing, cost behavior, cost allocation, pricing and product mix decisions, capital budgeting, compensation, benchmarking and continuous improvement, and behavioral and organizational issues.","Accounting"
"15212774175631",0.931783713476241,"business  finance  finance  course  role  financial  management  business  firm  course  basic  function  financial  management  decision_making  process  value  business  course  principle  financial  management  institutional  finance  current  topic  managerial  finance  working_capital  management  capital_budgeting  acquisition  fund","Social Sciences","Business Finance","FIR 3410","Finance 3410 is a course designed to examine the role of financial management in business firms. The course examines the basic function of financial management and the decision making process used to maximize the value of the business. The course integrates the principles of financial management with institutional finance. Current topics of managerial finance are covered, including working capital management, capital budgeting, and acquisition of funds.","Business"
