"id","Topic5_Proportion","tokens","category","title","code","description","class"
"10161892641628",0.882603995705692,"bible  interpreter  bible  book  time  content  countless  different  interpretation  century  course  introduction  richness  biblical  text  history  interpretation  close  reading  text  hebrew_bible  old_testament  new_testament  historical  context  variety  biblical  interpreter  maimonides  luther  freud  major  theme  figure  hebrew_bible  old_testament  new_testament","Arts and Humanities","The Bible and Its Interpreters","CTI 304","The Bible is one of the most widely read books of all time, the contents of which have generated countless different interpretations over the centuries. Accordingly, this course aims to provide an introduction to the richness of both the biblical text and its history of interpretation. Through a close reading of texts, we will study the Hebrew Bible/Old Testament and the New Testament within their historical contexts before turning to a variety of biblical interpreters, such as Maimonides, Luther, and Freud. In doing so, we will focus on the major themes and figures of the Hebrew Bible/Old Testament and New Testament.","Religion"
"10857677334226",0.8908543139762,"jazz  band  full  section  trumpet  trombone  saxophone  rhythm  section  instrument  instrument  various  arrangement  jazz  band  music  big_band  style  contemporary  experimental  jazz  form","Arts and Humanities","JAZZ BAND","Course #502","Consisting of full sections of trumpets, trombones, saxophones, rhythm section instruments, and other instruments needed for various arrangements, the jazz band is dedicated to performing music ranging from the big band style to contemporary and experimental jazz forms.","Music"
"12034498379591",0.878539849104452,"lit  context  umberto  eco  generation  version  middle_age  work  fiction  literary  criticism  poetry  visual  art  film  course  category  medieval  imagery  post  medieval  setting  eighteenth_century  special_attention  victorian  england  twentieth_century","Arts and Humanities","Reading Lit In Context","Hon 35015","Umberto Eco has said that every generation produces its own version of the Middle Ages. By examining selected works of fiction (and some literary criticism, poetry, visual arts, and film), this course will explore how the category of ‘the medieval’ has been constructed (and its imagery activated) in post-medieval settings from the eighteenth century onwards. Special attention will be paid to Victorian England and the twentieth century.","EnglishLiterature"
"12489764919011",0.884009505182903,"shakespeare  page  stage  half  dozen  play  shakespeare  clip  various  film  version  course  text  shakespeare  stage  film  emphasis  performance  othello  taming  shrew  hamlet  falstaff  julius_caesar","Arts and Humanities","Shakespeare: Page to Stage","LIT 3320","We will read a half-dozen or so plays by Shakespeare and see clips from various film versions. The course emphasizes how the texts of Shakespeare are transformed as they are interpreted on the stage or in film. Our emphasis will be on performance. I expect we'll consider Othello, The Taming of the Shrew, Hamlet, Falstaff, Julius Caesar, and one or two others.","EnglishLiterature"
"12524124647662",0.877333633708334,"survey  british  literature  chronological  survey  major  work  writer  british  literature  anglo_saxon  period  neoclassical","Arts and Humanities","Survey of British Literature I","English 201","A chronological survey of the major works and writers in British literature from the Anglo-Saxon period through the Neoclassical.","EnglishLiterature"
"13159779801179",0.880878074423587,"realist  text  performance  text  analysis  monologue  work  scene  study  course  major  work  modern  contemporary  realistic  playwright  scene  ibsen_chekhov  neill  williams  miller  contemporary  writer  tony_kushner  august_wilson  marsha  norman  beth  henley  text  examination  circumstance  subtext  analysis  action  objective  play  character  arc  plot  advancement  score  performance  dramatic  literature","Arts and Humanities","Acting the Realists: Text and Performance","ARTS 610","Through text analysis, monologue work, and scene study, this course will examine major works of modern and contemporary realistic playwrights. Scenes drawn from Ibsen, Chekhov, O'Neill, Williams, and Miller as well as contemporary writers such as Tony Kushner, August Wilson, Marsha Norman, and Beth Henley will serve as the texts for examination of given circumstances, subtext, and analysis of actions and objectives. We will explore these plays for character arc and plot advancement, approaching them as scores for performance rather than as dramatic literature.","TheatreArts"
"13288628818210",0.916595745848909,"classical_mythology  western  tradition  classical  text  fundamental  mythological  story  element  western  tradition  text  renaissance  twentieth_century  myth  ancient  text  epic_gilgamesh  hesiod  theogony  work  day  ovid_metamorphosis  play  aeschylus  sophocle  euripide  later  text  shakespeare  venus  adonis  rape  lucrece  milton  lycidas  lyric_poetry  keats  shelley  browning  swinburne  rilke  auden  yeats  course  suitable  classical  background  western  literature","Arts and Humanities","Classical Mythology and the Western Tradition","COLT 0811I","Reads classical texts that expound the fundamental mythological stories and elements of the Western tradition, then will read selected texts from the Renaissance through the twentieth century that utilize these myths. Ancient texts covered will include the Epic of Gilgamesh, Hesiod's Theogony and Works and Days, Ovid's Metamorphoses, and plays by Aeschylus, Sophocles, and Euripides. Later texts will include Shakespeare's Venus and Adonis and Rape of Lucrece, Milton's ""Lycidas,"" and lyric poetry by Keats, Shelley, Browning, Swinburne, Rilke, Auden, and Yeats. This course is suitable for anyone wishing to understand the classical background to Western literature.","EnglishLiterature"
"13288628834614",0.897325875041044,"vanguard  singer  band  study  performance  choral  repertoire  representative  period  music  light  classic  spiritual  hymn  anthem  arrangement  emphasis  contemporary  christian  worship  music","Arts and Humanities","Vanguard Singers & Band","MUSC 319","The study and performance of choral repertoire representative of all periods of music including light classics, spirituals, and hymn/anthem arrangements with an emphasis on Contemporary Christian and worship music.","Music"
"14207751840244",0.884009505182903,"shakespeare  page  stage  half  dozen  play  shakespeare  clip  various  film  version  course  text  shakespeare  stage  film  emphasis  performance  othello  taming  shrew  hamlet  falstaff  julius_caesar","Arts and Humanities","Shakespeare: Page to Stage","LIT 3320","We will read a half-dozen or so plays by Shakespeare and see clips from various film versions. The course emphasizes how the texts of Shakespeare are transformed as they are interpreted on the stage or in film. Our emphasis will be on performance. I expect we'll consider Othello, The Taming of the Shrew, Hamlet, Falstaff, Julius Caesar, and one or two others.","EnglishLiterature"
"14276471292485",0.880878074423587,"realist  text  performance  text  analysis  monologue  work  scene  study  course  major  work  modern  contemporary  realistic  playwright  scene  ibsen_chekhov  neill  williams  miller  contemporary  writer  tony_kushner  august_wilson  marsha  norman  beth  henley  text  examination  circumstance  subtext  analysis  action  objective  play  character  arc  plot  advancement  score  performance  dramatic  literature","Arts and Humanities","Acting the Realists: Text and Performance","ARTS 610","Through text analysis, monologue work, and scene study, this course will examine major works of modern and contemporary realistic playwrights. Scenes drawn from Ibsen, Chekhov, O'Neill, Williams, and Miller as well as contemporary writers such as Tony Kushner, August Wilson, Marsha Norman, and Beth Henley will serve as the texts for examination of given circumstances, subtext, and analysis of actions and objectives. We will explore these plays for character arc and plot advancement, approaching them as scores for performance rather than as dramatic literature.","TheatreArts"
