"id","Topic15_Proportion","tokens","category","title","code","description","class"
"1056561977931",0.791483034284239,"certain  question  mind  knot  philosophy  full  attempt  question  contradictory  path  general  way  problem  path  path  contradictory  question  concern  question  path  class  prominent  example  quandary  paradox  implication  view  rational  creature","Arts and Humanities","F R E S H M A N S E M I N A R","Y 150W","There are certain questions that tend to tie our minds in knots, and philosophy is full of them. The very attempt to answer such questions (or, sometimes, even to ask them) leads us down seemingly contradictory paths. In general, there are three ways to deal with this problem: (1) pick only one of the two paths, (2) try to show that the two paths are not contradictory after all, and (3) argue that the question (or the concern the question is trying to get at) doesn’t really lead us down those paths at all. In this class we will concern ourselves with some prominent examples of these quandaries – these paradoxes. How do they arise? How might we go about resolving (or dissolving) them? And what implications do they have for our view of ourselves as rational creatures?","Philosophy"
"10943576681921",0.764548727906414,"contemporary  moral  problem  main  goal  course  ability  moral  argument  reason  interesting  position  issue  abortion_euthanasia  suicide  affirmative_action  gay  right  sex  marriage  world  hunger  population  time  student  interested  issue  able  time  less  attention  difficult  moral  issue  unrealistic  issue  goal  course  various  moral  position  issue  reason  position  course  success  great  understanding  moral  reasoning  great  appreciation  moral  reasoning  ability  moral  view  reason  ability  strength_weakness  moral  position  interested  issue  position  moral  relativism  respect  practice  culture  individual  moral  relativism  true","Arts and Humanities","Contemporary Moral Problems","PHIL 102","The main goal of the course is to improve your ability to participate in and to critically evaluate moral arguments. We do this by carefully analyzing some of the reasons that have been given or that might be given to support philosophically interesting positions on the issues of abortion, euthanasia, assisted suicide, affirmative action, gay rights and same-sex marriages, world hunger and over-population. (If there is time and students are interested in other issues, we may be able to do more than this. If we run out of time, we'll do less.) Because we focus our attention on some particularly difficult moral issues, it would be unrealistic to expect us to resolve definitively the issues that we address. The goal of the course is rather to clarify the various moral positions that might be taken on these issues and, especially, to clarify the reasons that one might have for accepting or rejecting those positions. If the course is a success, you will acquire a greater understanding of moral reasoning; a greater appreciation for moral reasoning: an enhanced ability to defend your moral views with reasons; and an enhanced ability to recognize the strengths as well as the weaknesses of the moral positions of those you disagree with. We will also be interested in the issues concerning the position of moral relativism, and whether respect for the practices of other cultures and individuals implies that moral relativism is true.","Philosophy"
"11605001642541",0.756699118059038,"theory  knowledge  epistemology  boot_camp  tough  course  many  central  issue  contemporary  theory  knowledge  nature  knowledge  epistemic  justification  internalism  externalism  debate  contemporary  approach  skepticism  problem  introspection  self  knowledge  perception  memory  induction","Arts and Humanities","Theory of Knowledge","PHI 440/640","Welcome to epistemology boot camp (the toughest course youâ€™ll ever love?).  Once Iâ€™m finished with you, you should be well-acquainted with many of the central issues in contemporary theory of knowledge, including the nature of knowledge and epistemic justification, the internalism /externalism debate, contemporary approaches to skepticism, and problems of introspection and self-knowledge, perception, memory, and induction.","Philosophy"
"12017318502981",0.751910392939744,"metaphysic  metaphysics  inquiry  basic  general  feature  reality  aristotle  inquiry  first  philosophy  study  study  existence  course  introduction  contemporary  metaphysic  topic  method  twentieth_century  metaphysic  general  perspective  question  metaphysic  person  central  focus  question  ontology  question  kind  thing  general  issue  nature  metaphysical  question  ontological  commitment  existence  kind  thing  issue  universal  contemporary  guise  nature  concrete  particular  attribute  topic  modality  possibility  necessity  actuality  notion  possible  world  issue  possible  world  issue  time  debate  dynamic  static  view  question  time  time  question  possibility  time  travel  thinker  bertrand_russell  mctaggart  broad  quine  rudolf  carnap  max  black  smart  prior  david  lewis  david  armstrong  alvin  plantinga  saul  kripke  gideon  rosen  ted  sider","Arts and Humanities","METAPHYSICS","PHIL 441/641","Metaphysics can be thought of as inquiry into the most basic and general features of reality. Aristotle called this inquiry ""first philosophy"" and thought of it as the study of being qua being, that is, the study of existence as such. This course provides an introduction to contemporary metaphysics by examining a few topics via methods developed in the twentieth century. We will approach metaphysics from a more general perspective (as opposed to investigating questions specifically about, say, the metaphysics of persons). Our central focus will be on questions of ontology , that is, questions about the kinds of things that exist. We will start by considering the general issues of the natures of metaphysical questions and of ontological commitment (what it is to be committed to the existence of some kind of thing). We will then turn to the issue of universals, in its more contemporary guise. Next we will take up the nature of concrete particulars and whether there is more to them than the attributes they possess. After that we will address the topic of modality (possibility, necessity, actuality) and how the notion of possible worlds can be used to clarify it, before turning to the issue of how we should understand possible worlds themselves. Finally, we will turn to the issue of time and the debate between the ""dynamic"" and ""static"" views, before considering questions about what is involved in something's persisting through time (and, time permitting, questions about the possibility of time-travel). Among the thinkers we will study are Bertrand Russell, J.M.E. McTaggart, C.D. Broad, W. V. O. Quine, Rudolf Carnap, Max Black, J.J.C. Smart, A.N. Prior, David Lewis, David Armstrong, Alvin Plantinga, Saul Kripke, Gideon Rosen, and Ted Sider.","Philosophy"
"12317966222444",0.831900889777339,"knowledge  reality  course  issue  epistemology  knowledge  part  issue  metaphysic  reality  part  connection  part  epistemology  issue  nature  knowledge  threat  scepticism  range  view  knowledge  worrying  brain  vat  detailed  illusion  epistemological  contextualism  view  word  knowledge  different  thing  different  context  use  metaphysic  issue  nature  causation  explanation  hard  causation  explanation  range  view  question  connection  epistemology_metaphysic  causal  explanatory  notion  account  knowledge  advantage_disadvantage  causal  explanationist  epistemological  theory  particular  possible  connection  contextualism  knowledge  contextualism  explanation","Arts and Humanities","Knowledge and Reality","PHIL 383","In this course, we will be concerned with issues in epistemology (that’s the ‘knowledge’ part) issues in metaphysics (that’s the ‘reality’ part), and the connections between them (that’s the ‘and’ part). In epistemology, we will look at issues surrounding the nature of knowledge and the threat of scepticism. We will discuss a range of views about what knowledge is, and consider how worrying it is that everything would look exactly the same to us if we were brains in vats being fed detailed illusions. We will also look at epistemological contextualism: that’s the view that our word ‘knowledge’ picks out significantly different things in different contexts of use. In metaphysics, we will discuss issues surrounding the nature of causation and explanation. It turns out to be surprisingly hard to pin down exactly what causation and explanation are, and how they are related. We shall assess a range of competing views on these questions. As for the connections between epistemology and metaphysics, we will consider how causal and explanatory notions have been put to work in accounts of knowledge, looking at the advantages and disadvantages of causal and explanationist epistemological theories. In particular, we will look at possible connections between contextualism about knowledge and contextualism about explanation.","Philosophy"
"12395275628579",0.757270775641027,"rationality  justification  course  ambitious  attempt  part  nature  principle  rationality  justification  word  condition  belief  change  belief  rational  starting_point  certain  principle  rationality  argument  human  rationality  people  human  irrational  conception  rationality  verdict  presumption  rationality  matter  way  coherent  agent  reliable  agent  perfect  agent  theme  course  justification  way  ordinary  inference  belief  order  rational","Arts and Humanities","Rationality and Justification","Philosophy 310","This course will be an ambitious attempt on our part to “uncover” the nature and principles of rationality and justification. In other words, what are the conditions under which a belief, or change of belief, is rational or justified? Our starting point will be to uncover certain principles of rationality from arguments critiquing human rationality. When people argue that humans are almost always and everywhere irrational, what underlying conception of rationality do they presuppose that allow them to establish this verdict? Once we have uncovered these presumptions, we will challenge each of them systematically. Is rationality simply a matter of thinking in such a way as to be an internally coherent agent? A reliable agent? A mathematically and logically perfect agent? One recurring theme of the course is whether and how we can have justification for the ways in which we make ordinary inferences, and how our beliefs must fit together in order to be rational.","Philosophy"
"12610023997123",0.754537772510433,"seminar  ethic  philosopher  interested  intentional  action  moral_obligation  position  possible  single  agent  certain  commitment  point  combination  commitment  possible  problematic  possible  combination  agent  belief  value  claim  several  different  argument  contour  rational  moral  agency  rational  agent  reason  incoherent  moral_obligation  coherence  constraint  basis  obligation  possibility  moral  dilemma  ground  one  set  requirement  requirement  compatible  easy  coherent  atheist  answer  question  conception  rational  agency  insight  conceptual  limit  practical  incoherence  relationship  ideal  perfect  coherence  ideal  rational  agency","Arts and Humanities","Seminar in Ethics","PHIL 640","Philosophers interested in intentional action and moral obligations often defend their positions by arguing that it is not possible for a single agent to reconcile certain commitments. The point is either that no such combination of commitments is conceptually possible or that there is something problematic about this possible combination, no matter what the agent's beliefs and values happen to be. We will investigate these closely related claims as they figure in several different arguments about the contours of rational and moral agency. Can rational agents act contrary to what they think they have most reason to do? Are we incoherent insofar as we wittingly violate our moral obligations? (Are coherence constraints the basis of these obligations?) Must we reject the possibility of moral dilemmas on the ground that no one can coherently endorse a set of requirements if she believes that these requirements are not perfectly compatible? Is it as easy to be a coherent atheist as most of us suppose? In evaluating the answers to these questions, and considering what conception(s) of rational agency they presuppose, we will try to gain insight into (i) the conceptual limits on practical incoherence, and (ii) the relationship between the ideal of perfect coherence and the ideal of rational agency.","Philosophy"
"13065290520776",0.773925468787209,"philosophical  dimension  personal  decision  way  life  well  way  bad  well_bad  way  life  obvious  choice  quality  life  course  variety  philosophical  perspective  issue  particular  question  life  worth  good  life  relationship  person  moral  character  action  well  death  bad  death  thing  good  death  rational  good  choice  relationship  variety  philosophical  view  question  contemporary  research  psychology  behavioral  economic  answer  question  student  philosophical  skill  important  question  particular  student  understanding  argument  philosophical  concept  argument  strength_weakness  various  philosophical  position","Arts and Humanities","Philosophical Dimensions of Personal Decisions","PHIL 151","We can all imagine ways our lives might be better, and ways they might be worse. So too, we can imagine better and worse ways for our lives to end. And it's obvious that the choices we make affect the quality of our lives. In this course, we will examine a variety of philosophical perspectives on these issues. In particular, we will raise the following questions: What makes life worth living? What does it take to lead a good life? What is the relationship between a person’s moral character, her actions, and her well-being? What, if anything,makes death bad? Should we fear death? Is there any such thing as a good death? What does it mean to be rational? What does it mean to make good choices? What is the relationship between choosing rationally and living well? We will begin by canvassing a variety of philosophical views on these questions. We will also explore how contemporary research in psychology and behavioral economics informs our answers to these questions. Students will develop philosophical skills that enable them to approach these and other important questions carefully, thoughtfully, and rigorously. In particular, students can expect to improve their understanding of arguments, learn to carefully analyze philosophical concepts that appear in these arguments, and learn to identify the strengths and weaknesses of various philosophical positions.","Philosophy"
"13288628838798",0.745052152412804,"philosophical  reasoning  difference  belief  knowledge  moral  judgment  true  purpose  meaning  life  question  first  course  philosophy  aim  method  procedure  philosophical  argument  critical  dialogue  central  problem  philosophy  knowledge  morality  meaning  life","Arts and Humanities","Philosophical Reasoning","PHI 2109","What is the difference between belief and knowledge? Are our moral judgments true? Is there a purpose or meaning in life? These are some of the questions this first course in philosophy asks. It has two aims: To introduce you to the methods and procedures of philosophical argument and, second, to engage you in a critical dialogue with three central problems in philosophy - knowledge, morality and meaning in life.","Philosophy"
"13838384650006",0.786767805609708,"metaphysic  thing  real  chair  thing  unicorn  real  object  identity  time  space  various  change  sort  way  class  object  person  numbers  unique  property  question  existence  world  world  first  place  world  one  current  philosophical  fashion  possible  world  legitimate  way  argument  possibility  necessity  modality  course  various  argument  metaphysician  light  abstract  question  relative  appeal  picture  fundamental  nature  reality  metaphysical  commitment  contentious  relationship  philosophy  science  heart  analytic  metaphysic  last  century","Arts and Humanities","Metaphysics","PHIL 405","Most of us agree that some things are real (e.g. chairs) and some things are not (e.g. unicorns). But what is it to be “real”? How do spatiotemporally located objects retain their identity over time, in space, while undergoing various changes? Does everything that exists exist in the same sort of way, or are there classes of objects—perhaps “persons” or “numbers”—that possess unique properties? These questions all presuppose the existence of our world. But what do we mean by “world” in the first place? Might there be other worlds? Why does this one exist? And is the current philosophical fashion of talking about “possible worlds” a legitimate way to frame arguments concerning possibility, necessity, and other modalities? In this course, you will examine various arguments that metaphysicians have deployed to shed light upon these abstract questions. By reflecting upon the relative appeal of their competing pictures of the fundamental nature of reality you will expose their—and your own— metaphysical commitments. This will position you to evaluate the contentious relationship between philosophy and science that has been at the heart of analytic metaphysics for the last century.","Philosophy"
