"id","Topic3_Proportion","tokens","category","title","code","description","class"
"10033043609838",0.956957680365576,"middle_east  th_century  present  course  introduction  political  intellectual  history  modern  middle_east  late_eighteenth  century  present  primary  geographic  focus  land  ottoman  qajar  empire  post  world  war  successor  state  mandate  turkey_iran  egypt_syria  lebanon  iraq  mandate  palestine_israel  state  arabian  peninsula  subject  rise_fall  idea  institutional  political  reform  role  religion  political  social  life  imperialism_nationalism  post  colonialism  development  arab_israeli  conflict  impact  soviet_union  united_states  region  rise  political  islam  popular  challenge  post  imperial  secular  state  discussion  us  invasion  occupation  iraq  arab_spring  rise  isis","Arts and Humanities","The Middle East From the 18th Century to the Present","109C","This course is an introduction to the political and intellectual history of the modern Middle East from the late eighteenth century to the present. The primary geographic focus will be the lands of the Ottoman and Qajar Empires and their post World War I successor states and mandates, including Turkey, Iran, Egypt, Syria, Lebanon, Iraq, mandate Palestine, Israel, and the states of the Arabian Peninsula. Subjects covered include: the rise and fall of constitutionalism, ideas of institutional and political reform, the role of religion in political and social life, imperialism, nationalism, post-colonialism, development, the Arab-Israeli conflict and the impact of the Soviet Union and United States in the region. We will also discuss the rise of political Islam and popular challenges to the post-imperial secular state and conclude with a discussion of the US invasion and occupation of Iraq, the Arab Spring and the rise of ISIS.","History"
"11897059421024",0.950257533710892,"us  vietnam_war  course  history  american  involvement  vietnam  experience  americans  extent  vietnamese  second  indochina  war  impact  war  american  society  brief  exploration  pre  colonial  vietnamese  history  culture  french  colonial  dominance  late_nineteenth  century  vietnamese  nationalist  resistance  first  indochina  war  majority  time  diplomatic  political  course  american  war  vietnam  domestic  consequence  united_states  vietnam","Arts and Humanities","Hy Us - Vietnam War","HY 541","This course examines the history of American involvement in Vietnam, the experience of Americans (and, to some extent, Vietnamese) who fought the Second Indochina War (1954-1975), and the impact of the war on American society. It begins with a brief exploration of pre-colonial Vietnamese history and culture, French colonial dominance from the late nineteenth century through the 1930s, and the growing Vietnamese nationalist resistance that led to the First Indochina War (1945-1954). The majority of our time, however, will be spent on the diplomatic and political course of the American war in Vietnam as well as the domestic consequences it wrought in both the United States and Vietnam.","History"
"12352325954766",0.953518380895804,"europe  course  political  economic  social  cultural  evolution  europe  europe  ashe  world  war  ii  legacy  nazism  holocaust  cold_war  superpower  rivalry  postwar  european  landscape  postwar  economic  boom  western  europe  development  european_union  life  communist  society  eastern_europe  communism  rebirth  nationalism  resurgence  nationalism  europe  west  east  past_decade","Arts and Humanities","EUROPE SINCE 1945","HISTORY 4442","This course will examine the political, economic, social, and cultural evolution of Europe since 1945. How did Europe rebuild from the ashes of World War II? What was the legacy of Nazism and the Holocaust? How did the Cold War and superpower rivalries shape the postwar European landscape? How do we account for the postwar economic boom in Western Europe and the development of the European Union? What was life like in the communist societies of Eastern Europe, and why did communism ultimately collapse? What drove the rebirth of nationalism in the 1990s and how do we explain the resurgence of nationalism in Europe (west and east) over the past two decades?","History"
"12446815228120",0.956159224286272,"modern  middle_east  course  introduction  political  intellectual  history  modern  middle_east  late_eighteenth  century  present  primary  geographic  focus  land  ottoman  qajar  empire  post  world  war  successor  state  mandate  turkey_iran  egypt_syria  lebanon  iraq  mandate  palestine_israel  state  arabian  peninsula  subject  rise_fall  idea  institutional  political  reform  role  religion  political  social  life  imperialism_nationalism  post  colonialism  development  arab_israeli  conflict  impact  soviet_union  united_states  region  rise  political  islam  popular  challenge  post  imperial  secular  state  discussion  us  invasion  occupation  iraq  arab_spring  rise  isis","Arts and Humanities","Modern Middle East","109C","This course is an introduction to the political and intellectual history of the modern Middle East from the late eighteenth century to the present. The primary geographic focus will be the lands of the Ottoman and Qajar Empires and their post World War I successor states and mandates, including Turkey, Iran, Egypt, Syria, Lebanon, Iraq, mandate Palestine, Israel, and the states of the Arabian Peninsula. Subjects covered include: the rise and fall of constitutionalism, ideas of institutional and political reform, the role of religion in political and social life, imperialism, nationalism, post-colonialism, development, the Arab-Israeli conflict and the impact of the Soviet Union and United States in the region. We will also discuss the rise of political Islam and popular challenges to the post-imperial secular state and conclude with a discussion of the US invasion and occupation of Iraq, the Arab Spring and the rise of ISIS.","History"
"1254130459595",0.954520782149019,"mexican  amer  women  course  history  mexican  american  woman  united_states  twentieth_century  mexican  revolution  first  large_scale  migration  mexicans  united_states  migration  turn  first  century  particular  attention  diversity  mexican  american  history  regional  variation  society  culture  mexico  united_states  issue  race  gender  class  religion  experience  mexican  american  woman  united_states","Arts and Humanities","Mexican Amer Women, 1910","HIS F317L","This course examines the history of Mexican American women in the United States during the twentieth century. It begins with the 1910 Mexican Revolution, which led to the first large-scale migrations of Mexicans to the United States, and ends with the migrations at the turn of the twenty-first century. We will pay particular attention to the diversity of Mexican American history, including the regional variations of societies and cultures in both Mexico and the United States. Issues surrounding race, gender, class, and religion will help us to analyze and understand the experiences of Mexican American women in the United States.","History"
"13769665153919",0.958079178315783,"culture  caribbean  latin  american  caribbean  society  course  overview  culture  society  caribbean  circumcaribbean  region  focus  local  culture  historical  transformation  globalization  class  gender  ethnicity  region  history  present_day  emphasis  sociological  anthropological  perspective  discussion  topic  emergence  afro  american  culture  legacy  slave  plantation  ethnic  race  relation  caribbean  diaspora  united_states  development  transnational  community  identity","Arts and Humanities","Cultures of the Caribbean / Latin American and Caribbean Societies","ANT 4340","This course provides an overview of cultures and societies of the Caribbean and circumCaribbean region with a focus on local cultures and their historical transformations, transnationalism and globalization, and class, gender, and ethnicity. It focuses both on the region’s history and present day, with emphasis on sociological and anthropological perspectives. Discussion topics include the emergence of Afro-American culture, the legacy of the slave plantation, and ethnic and race relations. Also discussed are the Caribbean diaspora in the United States and the development of transnational communities and identities.","Linguistics"
"13932873916923",0.956658222266,"world  history  ii  course  significant  political  economic  social  development  various  cultural  region  world  major  topic  change  europe  asia  mongol  invasion  conquest  americas  impact  colonialism  consequence  africa_asia  americas  consolidation  european  state  empire  industrial_revolution  world  war  world  war  ii  cold_war  th_century  independence  movement  global  integration  course  cultural  religious  intellectual  movement  modern  society","Arts and Humanities","WORLD HISTORY II","HIST 11","This course explores some significant political, economic, and social developments of various cultural regions of the world since 1500. Major topics covered include the changes in Europe and Asia after the Mongol invasions; conquest of the Americas; the impact of colonialism and its consequences for Africa, Asia, and the Americas; the consolidation of European states and empires; the Industrial Revolution; World War I; World War II; the Cold War; 20th century independence movements; global integration. The course will also examine the cultural, religious, and intellectual movements that shaped modern societies.","History"
"14285061250004",0.961206139370473,"women  america  history  introduction  history  woman  america  colonial  period  present  primary_secondary  source  history  experience  woman  america  woman  turn  history  course  major  turning_point  experience  woman  sociological  group  traditional  east  coast  framework  woman  history  diversity  woman  life  ethnicity  class  identity  regionalism  gender  woman  experience  america  topic  course  life  native  american  woman  woman  sexuality  identity  woman  suffrage  movement  modern  woman  movement  woman  economy  image  woman  class  cultural  clash  woman","Arts and Humanities","WOMEN IN AMERICA","HISTORY 3470","History 3470 is an introduction to the history of women in America from the colonial period to the present. Using both primary and secondary sources, we will examine how history has shaped the experiences of women in America and how women have, in turn, shaped history. The course will trace the major turning points in the experiences of women as a sociological group, but it will also move outside of the traditional “east coast” framework of women’s history, and consider the diversity of women’s lives. We will thus be analyzing how ethnicity, class, identity, and regionalism intersect with gender in influencing women’s experiences in America. Topics covered in this course will include the lives of Native American women, women’s sexuality and identity, enslaved women, the suffrage movement and modern women’s movement, women and the economy, images of women, and class and cultural clashes between women.","History"
"14310831045673",0.960470222179821,"modern  american  civilization  course  overview  united_states  history  present  focus  relationship  evolution  united_states  politic  society  home  projection  american  economic  cultural  military  power  traditional  topic  history  th_century  united_states  origin  modern  bureaucratic  state  immigration  citizenship  politic  rise  modern  corporation  consumerism  popular  culture  notion  gender_sexuality  rise_fall  jim_crow  south  relation  history  european  american  imperialism  global  migration  people  world  war  cold_war  economic  cultural  globalization","Arts and Humanities","Modern American Civilization From 1877","HSTAA 303","This course will provide an overview of United States history from 1877 to the present. Its focus will be on the relationship between the evolution of United States politics and society ""at home"" and the projection of American economic, cultural, and military power ""abroad."" Traditional topics in the history of the 20th century United States (such as the origin of the modern bureaucratic state, immigration and citizenship politics, the rise of the modern corporation, consumerism and popular culture, changing notions of gender and sexuality, and the rise and fall of the Jim Crow South) will be framed in relation to the history of European and American imperialism, global migrations of peoples, world wars, the Cold War, and economic and cultural globalization.","History"
"15487652084034",0.949918775203173,"afam  masculinite  course  historical  construction  black  masculinity  various  region  period  united_states  way  gender_sexuality  modern  history  black  male_female  americas  institution  racial  slavery  formation  post  emancipation  society  social  political  economic  condition  black  male_female  life  contemporary  period  representation  black  man_woman  boy_girl  culture  society  relation  broad  politic  race  class  gender_sexuality  post  civil_rights  era","Arts and Humanities","AFAM MASCULINITES","AFAM 122","This course examines the historical construction of black masculinities in various regions and periods in the United States. It examines the ways that gender and sexuality have shaped the modern history of black males (and females) in the Americas from the institution of racial slavery to the formation of post-emancipation societies. It examines the social, political, and economic conditions of black male (and female) life in the contemporary period as well and interrogates especially representations of black men (and women) and boys (and girls) in U.S. culture and society in relation to the broader politics of race, class, gender, and sexuality in the post-civil rights era.","History"
